"","rep_no","time1","time2","time3","time4","time5","time6","assembly","i"
"92","238","1709568347.01255","1709568347.32067","1709568347.32119","1709568347.32251","1709568347.68506","1709568347.75415","CEN12345.fasta","42"
"93","65","1709568347.01266","1709568347.19261","1709568347.19303","1709568347.19361","1709568347.5311","1709568347.54892","CEN12345.fasta","43"
"94","29","1709568347.01271","1709568347.17355","1709568347.17408","1709568347.17449","1709568347.51294","1709568347.5211","CEN12345.fasta","44"
"95","35","1709568347.01279","1709568347.17395","1709568347.17446","1709568347.17512","1709568347.53464","1709568347.54456","CEN12345.fasta","45"
"96","23","1709568347.01285","1709568347.15515","1709568347.15556","1709568347.15589","1709568347.50349","1709568347.51036","CEN12345.fasta","46"
"97","15","1709568353.00768","1709568353.06104","1709568353.0625","1709568353.063","1709568353.54828","1709568353.55293","CEN12345.fasta","461"
"98","11","1709568353.06815","1709568353.1103","1709568353.11157","1709568353.11193","1709568353.48881","1709568353.48946","CEN12345.fasta","465"
"99","678","1709568347.01292","1709568347.9145","1709568347.91801","1709568347.92137","1709568348.39203","1709568348.56273","CEN12345.fasta","47"
"100","529","1709568347.01302","1709568347.82111","1709568347.82578","1709568347.82892","1709568348.37335","1709568348.51218","CEN12345.fasta","48"
"101","89","1709568347.01307","1709568347.233","1709568347.23497","1709568347.23579","1709568347.60299","1709568347.65552","CEN12345.fasta","49"
"102","691","1709568347.01004","1709568347.97662","1709568347.98096","1709568348.02959","1709568348.5813","1709568348.77273","CEN12345.fasta","5"
"103","219","1709568347.01313","1709568347.33342","1709568347.334","1709568347.33561","1709568347.70051","1709568347.75403","CEN12345.fasta","50"
"104","13","1709568347.01324","1709568347.15381","1709568347.15537","1709568347.15575","1709568347.50846","1709568347.51251","CEN12345.fasta","51"
"105","71","1709568347.01346","1709568347.23243","1709568347.23356","1709568347.23421","1709568347.57401","1709568347.59504","CEN12345.fasta","52"
"106","65","1709568347.01351","1709568347.25861","1709568347.26002","1709568347.26059","1709568347.64426","1709568347.67534","CEN12345.fasta","53"
"107","17","1709568353.94231","1709568354.06133","1709568354.06452","1709568354.06544","1709568354.66849","1709568354.67866","CEN12345.fasta","537"
"108","257","1709568347.01355","1709568347.56875","1709568347.57371","1709568347.57514","1709568348.26232","1709568348.31234","CEN12345.fasta","54"
